,Unnamed: 0,videoId,channelTitle,publishedAt,channelId,title,description,tags,viewCount,likeCount,commentCount,favoriteCount,kind,運動目的,運動目的2
0,0,sM3W0b1PdOY,メトロンブログ,2018-05-16T09:32:13Z,UCZWyZ5L_MVBCcB8vmkspb8A,【3035万回再生突破！】短期集中型【１日２分だけ】週３日の耐久戦腹筋でお腹を割るトレーニング方法     Abs Training,"パーソナルトレーナーを趣旨にしたBOOST° というチャンネルを始めました！
新しい腹筋メニューも豊富に行っていきますので興味のある方は是非チェックしてください!! https://www.youtube.com/channel/UCgj-JPupxyQqo5rIinwIvxA


メトロンブログ定番のお勧めサプリセット！味も美味しく効果もしっかり出してくれる！
このリンクから飛ぶと５％OFFになるので興味のある方は是非 (紹介コード  SHR904)　　
https://iherb.co/xz8QfysV


プロテインでは長年愛用のこのプロテイン【紹介コード  SHR904】
チョコレート https://iherb.co/nHAWqyYs  
いちごフレーバー https://iherb.co/GQRAyKVX


疲労回復には→ BCAAよりEAA(9種のアミノ酸) 【紹介コード  SHR904】
フルーツ  https://iherb.co/98DgE9f6
コーラライム  https://iherb.co/dzeBYnnx


筋肉の張りや筋力Upにはクレアチン【紹介コード  SHR904】
無味  https://iherb.co/rrD1SBzp
ココナッツライム https://iherb.co/e81wbxxB

トレーニングのモチベーションに！エナジードリンクより遥かに効きます！【紹介コード  SHR904】
オレンジマンゴー　https://iherb.co/JV5CH5Cs



フィットネス専門ウェブサイトを立ち上げました！もっと詳しく学びたいと言う人は是非このサイトにお越しくださいね！
Urban:StyleFitness ページ→ http://fitnabody.com/



インスタグラムチェックしてね！
https://www.instagram.com/metron_vlog/



おすすめ動画！
↓

最強の自重トレ！自宅で大きな大胸筋を短期で鍛える方法【筋トレ】
https://youtu.be/0rSFWiAcDWc


５分で出来る丸秘自宅トレーニング【胸の谷間を作る筋トレ】
https://youtu.be/y4icHjTJRe4


年齢体系関わらず誰でも出来るお腹へこます脂肪燃焼腹筋トレーニング！(ビギナ-編)
https://youtu.be/_hh_xbI21Vs


超簡単!体が硬い人でも確実に開脚が出来るようになるストレッチ（腰痛改善&ダイエット効果向上）
https://youtu.be/JC4AhqsQ6s0


白人女性に聞く1番モテる体系とは?細マッチョ？ゴリマッチョ？衝撃的な結果に!!【EXILE, ジャニーズ, 金子賢, スポーツ選手,お笑い芸人】
https://youtu.be/PixZYJSoXp0


お仕事依頼はコチラにお願い致します
↓↓↓
mocoyocube@gmail.com



#筋トレ
#motivation 
#筋トレ結果
#フィジーク
#workout
#ダイエット
#fitness
#トレーニング","['腹筋', 'お腹の脂肪エクササイズ', '腹筋トレーニング', '筋トレ', 'abs training', 'workout']",31086993,387705.0,18275.0,0,無酸素運動,無酸素運動1,全身筋力トレーニング
1,1,g46tZN9J_2k,CALISLIFE自重トレ,2019-12-15T09:35:30Z,UCVdr-eRqzvzKHMpiU4YuNIQ,【1日6分】シックスパックを作る7種目腹筋トレーニング！【器具なし】,"シックスパックを作る腹筋トレーニング7種目です！6分間続けるのが難しい場合は途中で動画を止めて休憩を長くしてください！

1．バイシクルクランチ
　腹直筋・腹斜筋
2．リバース・トゥースラスト
　腹直筋
3．ウィンドシールドワイパー
　腹斜筋
4．レッグリフトクランチ
　腹直筋
5＆6．サイドプランククランチ
　腹斜筋・体幹筋
7．ヒールタッチクランチ
　腹斜筋
8．ロシアンツイスト
　腹直筋・腹斜筋

【SNSフォローお願いします！】
Twitter：https://twitter.com/shin_vlog
Instagram：https://www.instagram.com/shin_vlog/
Facebook：https://www.facebook.com/shinvlog

音楽：
Heuse & Zeus x Crona - Pill (feat. Emma Sameth) [NCS Release]
https://www.youtube.com/watch?v=CLiXUT3MS34
Jo Cohen & Sex Whales - We Are [NCS Release]
https://www.youtube.com/watch?v=C6IaUMAg3Dc

#腹筋
#筋トレ
#自重トレ
#自宅トレ",,22876662,246993.0,10848.0,0,無酸素運動,バランス型2,トレーニング/ダイエット/健康維持/体質改善など様々に対応
2,2,u-wS8jABqQI,ザ・きんにくTV 【The Muscle TV】,2020-03-21T09:00:33Z,UCOUu8YlbaPz0W2TyFTZHvjA,【腹筋】最速で腹筋を割る方法＆3分半で追い込む７種類の腹筋メニューを実践。初心者の方でも安心して行えるように解説付きです。さぁ、一緒に腹筋を割りましょう。,"○男性はもちろん女性も必見『お尻＆内もも 10分間』
https://youtu.be/tkRfK1dr15o

○『8種目4分で背筋を作る(器具なし)』
https://youtu.be/al3CoAGcrTE

○『4種目3分間のレッグランジ』
https://youtu.be/OlGiInYmSiw

○『7種目4分間でお腹周りを引き締める』
https://youtu.be/XpoJfzAMneY

○『7種目3分半で胸(バストアップ)を鍛える』
https://youtu.be/PquP1dO3uKg

○『7種目4分間で肩(三角筋)を作る』
https://youtu.be/DAI9IcAxfPA

○『7種目4分半でカッコいいお尻(ヒップアップ)を作る』
https://youtu.be/eqZoAgF5Hkw

○『7種目3分半で下半身(脚)を引き締める』
https://youtu.be/BFitLouawaM

○『7種目4分間で体幹部(コア)を鍛える』
https://youtu.be/590CWWrC4PM

○『7種目4分半でカッコいい腕(力こぶ＆二の腕)を作る』
https://youtu.be/yjTD95S3TUc

○下腹部＆くびれを10種目10分間
https://youtu.be/o5vb430_m38

○胸＆腹筋を10種目5分間
https://youtu.be/RIqa_JtJ3jk

○ザ・きんにくTV 2nd
https://www.youtube.com/channel/UCnHzm--hwx96P9D3Rnbe3LQ?view_as=subscriber

『きんにくブログ』で筋肉情報書いてます
http://なかやまきんに君.com

『ザ・プロテイン』大好評発売中
http://theprotein.jp

Instagramもフォローしてね
https://www.instagram.com/nakayama_kinnikun/?hl=ja

Twitterもフォローしてね
https://twitter.com/kinnikun0917

#腹筋  #シックスパック #ウエスト","['なかやまきんに君', '筋トレ', 'トレーニング', 'ダイエット', '筋肉', 'ボディビル', 'フィジーク', 'パワー', '腹筋', '最短', '最速', 'シックスパック', 'abs', 'ジム', '自宅', '自宅筋トレ', 'abdominal', '解説', 'ウエスト', 'くびれ', '腹斜筋', '腹直筋']",15362314,198323.0,6480.0,0,無酸素運動,ストレッチ2,簡単筋力トレーニング
3,3,iDhn6Sls3jw,NINA Lifts,2019-07-06T18:57:48Z,UCxwXY44XXCn-yvNzvM42BLw,【筋トレ女子】とりあえず懸垂UP〜。【pull ups】,"とりあえず懸垂UP

【SNS】
Instagram
https://www.instagram.com/forcedupgrade217
Twitter
https://twitter.com/forcedupgrade27
TikTok
https://www.tiktok.com/@ninaliftsyoutube

【Buy Me a Protein】
Patreon
https://www.patreon.com/NINALifts
Membership
https://www.youtube.com/channel/UCxwXY44XXCn-yvNzvM42BLw/join

【My MERCH】
NINA Lifts公式グッズ/NINA Lifts Official Merch
https://suzuri.jp/NINALifts

【その他各種リンク】
https://linktr.ee/ninaliftsyoutube


【懸垂台】
https://amzn.to/2YNlPVW

Amazon.co.jpアソシエイト

【サプリ】
・マイプロテイン紹介リンク: https://www.myprotein.jp/referrals.list?applyCode=ZKKY-R1
　（マイプロテイン紹介コード: ZKKY-R1）

・iHerb紹介リンク: https://jp.iherb.com/home?rcode=VBF855
    (iHerb紹介コード：VBF855)

#筋トレ女子 ＃懸垂 ＃懸垂女子 #Shorts #NINALifts  #NINA  #ニナリフツ #筋トレ  #pullup #pullups #workout","['筋トレ女子', '懸垂女子', 'pullups', '広背筋', '懸垂', '筋トレ', '懸垂女性', 'トレーニング', '筋肉', 'pullup']",15077623,67706.0,5122.0,0,無酸素運動,無酸素運動1,全身筋力トレーニング
4,4,1pG0vMH98jI,CALISLIFE自重トレ,2019-12-29T09:00:00Z,UCVdr-eRqzvzKHMpiU4YuNIQ,【3分】胸の上部・中部・下部を鍛える大胸筋トレーニング！【初心者向け】,"初心者向けの大胸筋トレーニングです！この動画で行う3種目で大胸筋の上部・中部・下部を鍛えることができます！

【種目】
①ニーバックベンドプッシュアップ
　大胸筋下部（腹部繊維）
②ニープッシュアップ
　大胸筋中部（胸肋部繊維）
③ニーリバースハンドプッシュアップ
　大胸筋上部（鎖骨部繊維）

【SNSでも自重トレを発信しています】
Twitter：https://twitter.com/shin_vlog
Instagram：https://www.instagram.com/shin_vlog/

音楽：
Sub Urban - Cradles [NCS Release]
https://www.youtube.com/watch?v=Hn4sfC2PbhI

#大胸筋トレーニング
#自重トレ
#筋トレ","['自重トレーニング', '大胸筋トレーニング', '器具なし', '自宅トレーニング', '胸トレ', '鎖骨部繊維', '胸肋部繊維', '腹部繊維', '筋トレ', '三角筋', 'ニープッシュアップ']",11649378,134634.0,4406.0,0,無酸素運動,無酸素運動1,全身筋力トレーニング
5,5,6p4K9HWTi20,まめたまの筋トレ日記,2021-12-25T11:30:14Z,UCXVErXFv_fzdIMjFpkIXHtg,【変わりすぎ注意】継続すれば必ず体が変わる4分間筋トレ,"■この動画を事前にやることでより効果UP！
https://www.youtube.com/watch?v=8kbXwWyLJPg

■まめたま愛用のマルチビタミン🔥
https://amzn.to/3BBbcK0

■まめたま愛用のEAA &メンズスキンケア💪
◎割引コード【MAMETAMA1】入力でAMBiQUE全商品3%OFF！
・EAA（マスカット風味）
https://amzn.to/3QAhWzt
・化粧水
https://amzn.to/3arFJBd
・洗顔
https://amzn.to/3Mfcm2l

■まめたま愛用のプロテイン
・マイプロテイン➡︎抹茶ラテ・黒糖ミルクティーがおすすめ！
→割引コード:【MAMETAMA】入力で最安値で買える！
　https://prf.hn/l/znvEq2l

■アパレルブランド『Luwlūs』の購入はこちら↓
https://nuno-ailands.com/pages/luwlus

■「減量の正しいやり方100選」を無料プレゼント中↓
公式LINE:https://line.me/R/ti/p/@741rkhye

■チャンネル登録はこちら↓
http://www.youtube.com/channel/UCXVErXFv_fzdIMjFpkIXHtg?sub_confirmation=1

■姉妹チャンネル登録はこちら↓
http://www.youtube.com/channel/UCvz3oR1Lzz7biSu6H95Ej1A?sub_confirmation=1

■「まめたまの頑張らないダイエット食堂」での注文はこちら
「頑張らずに痩せる！」をテーマにPFCやカロリー、味にこだわり抜いたお店
　➡︎https://onl.bz/8WAuXP7

■トレーニングメニュー🟠
1.寝たままプランク
2.プランク
3.フルプランク
4.マウンテンクライマー
5.スパイダーマンプランク
6.プランクヒップツイスト
7.プランクアブス
8.足上げプランク
9.寝たままプランク
10.プランク
11.大の字プランク

🔴：上級者
🟠：中級者
🟡：初級者
※独自の計算方法で点数化し3段階で強度分けしています

■まめたま使用のおすすめサプリ
・マルチビタミン➡︎筋肉に必要な栄養素をこれ一つで！
　https://amzn.to/3BBbcK0
・EAA➡︎筋合成や筋分解を防ぐのに効果的！
　https://amzn.to/3QAhWzt

■まめたま使用のおすすめ筋トレグッズ
・ヨガマット
　https://amzn.to/33yBQUk
・腹筋ローラー
　https://amzn.to/3f6lV59
・ダンベル(5kg)
　https://amzn.to/3beCQkN

※上記リンクURLはAmazonアソシエイトのリンクを使用しています。

■SNS
【Twitter】
まめ→https://twitter.com/mame7mametama?s=21
たま→https://twitter.com/tama_mametama?s=21
まめたま→https://twitter.com/mametamacho

【Instagram】
まめ→https://www.instagram.com/mame_mametama/
たま→https://www.instagram.com/tama_mametama/
まめたま→https://www.instagram.com/mametamacho

【TikTok】
https://www.tiktok.com/@mametamadiary

■おすすめ動画
一日3分のみ！下っ腹の脂肪がごっそり落ちる短期集中腹筋トレーニング
https://youtu.be/0lZTz3Ooimw

【5分】お腹・腰周りの浮き輪肉を落とす鬼の筋トレ【ダイエット】
https://youtu.be/CXwHm18n4Tk

【6分間】11種目で胸の上部・中部・下部を鍛える大胸筋トレーニング！
https://youtu.be/xfoQfD2EiFc

■腹筋の効果的なやり方・逆効果のNG例
◎効果的にするポイント
　1.勢いや反動をつけずに丁寧に腹筋を意識して動作する
　2.おへそをのぞき込むようなイメージで、身体を起こす
　3.腹筋収縮時に、息を吐き切る
　4.丁寧に行いセット数を増やす

✖️よくあるNG例
　1.完全に起き上がらないとダメだと思い込む。
　➡︎動作が大きいほど負荷が大きくなるわけではない。
　    腰を痛めやすいので注意。
　2.勢いや反動で起き上がって回数を稼ぐ
　➡︎腕や脚の力を使っても適切な刺激がいきません。

■仕事依頼・コラボ依頼はこちら
連絡先：mametamacho@gmail.com

■楽曲
・audiojungle
　https://audiojungle.net/

#LINE追加で減量のコツ100選無料プレゼント中","['腹筋', '体幹トレーニング', 'お腹痩せ', 'ダイエット', '筋トレ', '脂肪燃焼', 'CALISLIFE', 'まめたま', '引き締め']",11516962,226063.0,3615.0,0,無酸素運動,無酸素運動1,全身筋力トレーニング
6,6,VzUaVBXGVeQ,山澤 礼明【筋肉チャンネル】,2021-04-20T11:29:03Z,UCuhPVNbY5AATKsU5RSEhbCQ,たった１セットで大胸筋がパンパンになるやばいメニュー,"＃大胸筋＃胸トレ＃腕立て伏せ
山澤礼明愛用のサプリメントはこちら→マイプロHP http://tidd.ly/ba9c90af
マイプロテインは『YAMASAWA』コードを使うとどんなセール時でも更に１％安くなりますので是非。通常セールが50%引きなら51%引になります。

山澤礼明の脱毛サロンHP　https://www.hy-beautylounge.com

山澤礼明のジム　アルティメットフィットネス
https://www.ultimate-fitness-hy.com

山澤礼明のジム２　上越YGパーソナルトレーニングジム
https://www.jyouetu-yg.com

山澤礼明Instagram
http://instagram.com/rey.yamasawa
　
山澤礼明オリジナルアパレル「REY 」
https://www.rey-fit.com

山澤礼明Twitter
https://linktr.ee/YamasawaRey

ジムを経営する山澤礼明のサブチャンネル
https://youtu.be/tfKo21S_ewQ

お仕事の依頼はこちらにお願いいたします。
ultimatefitness.71@gmail.com


アルティメットフィットネスへの求人はこちらへDMお願いします。
http://instagram.com/ultimatefitness71","['大胸筋', '胸を大きくする', '腕立て伏せ', '自重トレーニング', '筋トレ', '山澤礼明', '胸トレ']",9308180,112943.0,1941.0,0,無酸素運動,無酸素運動2,ジム向け筋力トレーニング
7,7,Q-LGg-58_ZU,CALISLIFE自重トレ,2019-11-18T09:41:43Z,UCVdr-eRqzvzKHMpiU4YuNIQ,【6分】背筋トレーニング7種目！器具なしで背中全体を鍛える！,"器具なしで背中全体を鍛える背筋トレーニングです！

1．バックスクイーズ
2．バックエクステンション
3．リバースクロスクランチ
4．フロッグリフト
5．ヒップリフト
6．バックスクイーズ
7．スノーエンジェルホールド

音楽：
JPB - High [NCS Release]
https://www.youtube.com/watch?v=Tv6WImqSuxA

Jim Yosef - Firefly [NCS Release]
https://www.youtube.com/watch?v=x_OwcYTNbHs

ソーシャルメディア：
Twitter：https://twitter.com/shin_vlog
Instagram：https://www.instagram.com/shin_vlog/
Facebook：https://www.facebook.com/shinvlog

＃背筋
＃筋トレ
＃自重トレ","['自重トレーニング', '背筋トレーニング', '背中トレーニング', '広背筋', '脊柱起立筋', '筋トレ']",8716147,92945.0,2236.0,0,無酸素運動,無酸素運動1,全身筋力トレーニング
8,8,t8J04f4mQBU,CALISLIFE自重トレ,2019-09-21T06:51:05Z,UCVdr-eRqzvzKHMpiU4YuNIQ,【10分間】サッカー長友選手も行う体幹トレーニング！10 minute Core Workout,"サッカー日本代表の長友佑都選手もが行っている体幹トレーニングです！

体幹(軸)がしっかりしてくるとトレーニングをより効果的に行えるようになったり、スポーツのパフォーマンスの向上なども見込めます。

10分間がしんどいと感じたら、少し時間を短くしたり種目を減らすなど工夫してやってみてください。

◆今回行ったトレーニング⇩

①フロンドブリッジ
　腹直筋・腹斜筋・脊柱起立筋
②バックブリッジ
　脊柱起立筋・大臀筋(お尻)
③片足サイドブリッジ
　中臀筋(お尻)・腹斜筋・腹直筋
④ヒップリフトキープ
　大臀筋・脊柱起立筋・ハムストリングス
⑤連動Vクランチ
　腹直筋・腸腰筋・大腿四頭筋
⑥もも上げフロントブリッジ
　体幹全体・特に腹斜筋
⑦バッククロスクランチ
　大臀筋・脊柱起立筋・広背筋


★Twitterフォロー宜しくお願いします
https://twitter.com/shin_vlog
ツイッターでも簡単にできるトレーニング動画や、ダイエット、サプリメントなどボディメイクに関する情報をツイートしてます！

★Instagramフォロー宜しくお願いします
https://www.instagram.com/shin_vlog/


＃体幹トレーニング
＃長友佑都
＃コアトレ","['長友佑都', '体幹トレーニング', 'ワークアウト', 'コアトレーニング', '筋トレ', 'ダイエット', '脂肪燃焼', 'プランク', 'サッカー']",8154107,73816.0,2711.0,0,無酸素運動,バランス型2,トレーニング/ダイエット/健康維持/体質改善など様々に対応
9,9,77MTzc1bMGM,メトロンブログ,2018-06-15T10:27:54Z,UCZWyZ5L_MVBCcB8vmkspb8A,太い腕を作る【1日２分３０秒】スーパーセット腕トレ！器具無しトレーニング,"【僕のオフィシャルサイト】是非遊びに来てください→  https://www.keithet.com/home
【メトロンブログの筋トレサイト】トレ知識が詰まった日本でも有数の筋トレWebサイト→ http://fitnabody.com/
【筋トレだけチャンネル】BOOST°→ https://www.youtube.com/channel/UCgj-JPupxyQqo5rIinwIvxA

メンバーシップSQUADを開始しました！メンバー限定のコンテンツが多くあるので興味のある方は是非遊びに来て下さい^^ https://www.youtube.com/channel/UCZWyZ5L_MVBCcB8vmkspb8A/join


 - - - - 更に大手iHerbのサプリ紹介 - - - - -

メトロンブログ定番のお勧めサプリメントセット！味も美味しく効果もしっかり出してくれる！
iHerb大手のサプリ会社【サプリメンのアマゾンって感じです】
【紹介コードで5~10%off → SHR904 】
　　
ボディメイクコンプリートサプリセットhttps://iherb.co/hNr1hwwU

【 おすすめプロテイン(1食分の蛋白グラム)】
・ゴールドスタンダード(24g) https://iherb.co/nHAWqyYs
（長年愛用の黄金プロテインんです）

・超低炭水化物プロテイン(30g) https://iherb.co/qpJ5ubVu
(美味しく飲みカロリーを摂らずにプロテイン摂取！)

・ストロベリーミルク(22g) https://iherb.co/Hg5tz4GY
（最上級のプロテインマトリックス）


【 筋肉の成長促進＆疲労回復にEAA / BCAA 】
・Dymatize フルーツ味(EAA) https://iherb.co/98DgE9f6
・Xtendパイナップル味(BCAA) https://iherb.co/vg66NtzV
 
【 パンプ向上、短期筋肉の成長 】
・クレアチン https://iherb.co/yRfg4ia7

【 筋トレの集中力&モチベーション向上にPre-Workout 】
・C4オレンジ味  https://iherb.co/JV5CH5Cs
・ELVutionブルーラズベリー味 https://iherb.co/gjRxDYyg

 - - - - - - - - - - - - - - - - - - - - - - - - - - - 

音楽提供 ByMusicbed (アップテンポMusic豊富)： http://share.mscbd.fm/metroncity
Artlist (チル系が豊富) : https://bit.ly/2D4wpRl

Instagram :  https://www.instagram.com/metron_city/?hl=ja


【 お仕事依頼はコチラにお願い致します 】
   ↓↓
mocoyocube@gmail.com","['腕トレ', '筋トレ', '自重トレ', '短時間筋トレ', '太い腕', 'arm workout', 'triceps', 'biceps', '上腕二頭筋', '上腕三頭筋']",5508672,74034.0,2269.0,0,無酸素運動,無酸素運動1,全身筋力トレーニング
